p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
178 1.78842807778848e-277 2.94840742541776 0.348 0.048 2.81283968074573e-273 1 Knstrn
179 1.60632638430587e-276 2.66390980572171 0.363 0.053 2.52643013723627e-272 1 Dnph1
180 1.04726775754861e-275 2.6614244654973 0.316 0.039 1.64714272907245e-271 1 Ube2c
181 1.88629298519964e-275 2.43269695426466 0.403 0.066 2.96676160712199e-271 1 Upp1
182 5.23303325436574e-272 2.22979677158095 0.747 0.287 8.23051470246644e-268 1 Urah
183 1.81316720564635e-271 3.19028064888127 0.271 0.028 2.85174938104058e-267 1 Ly6i
184 2.71677030252315e-271 2.59151755095603 0.291 0.033 4.27293633180841e-267 1 Ung
185 1.17221194658159e-265 2.40803657150714 0.265 0.027 1.84365494958352e-261 1 Ccne1
186 1.96060114257866e-264 2.2824987787982 0.318 0.041 3.08363347704771e-260 1 Clspn
187 2.83303890921783e-260 2.53435414034924 0.385 0.064 4.4558035964178e-256 1 Mad2l1
188 2.24165616407223e-255 2.50990094116634 0.295 0.036 3.5256768148528e-251 1 Cenpe
189 3.60095574804584e-250 2.6168859075223 0.289 0.035 5.6635832005265e-246 1 C330027C09Rik
190 9.79601827767847e-245 2.40927438345589 0.399 0.073 1.54071775471327e-240 1 Nlrp4e
191 2.43134921402803e-233 2.23679355747159 0.282 0.036 3.82402604382329e-229 1 Bard1
192 3.24926876687067e-233 2.40934765423305 0.303 0.043 5.11044991653419e-229 1 Dctd
193 1.90258960559142e-228 2.21909292950644 0.331 0.052 2.99239293167419e-224 1 Susd4
194 4.22055633007549e-222 2.32653693591411 0.31 0.048 6.63809099594274e-218 1 Areg
195 5.80106556740258e-219 2.26201495497049 0.315 0.049 9.12391592441078e-215 1 Pkmyt1
196 1.21638603260525e-218 2.31951231807689 0.311 0.048 1.91313195208153e-214 1 Kif20b
197 1.44616203519969e-215 2.26857310639842 0.489 0.125 2.27452364896208e-211 1 Akr1b8
198 2.46296581896522e-208 2.33444954637467 0.28 0.041 3.8737526400685e-204 1 Pinlyp
199 1.3112253801202e-185 2.4362670780412 0.363 0.079 2.06229527785306e-181 1 Ckap2l
200 4.19369505305899e-159 2.23760372752721 0.314 0.068 6.59584357945118e-155 1 Cenpa
201 0 4.1959336221968 0.966 0.095 0 2 Tnxb
202 0 4.08303375724943 0.947 0.084 0 2 Clec3b
203 0 4.3160719797991 0.965 0.102 0 2 Nid1
204 0 3.85885982750592 0.965 0.116 0 2 Dpt
205 0 4.84550855212869 0.891 0.044 0 2 Ebf2
206 0 3.68997743086784 0.949 0.107 0 2 Cd34
207 0 3.94489825937613 0.955 0.114 0 2 Mfap5
208 0 3.96382226706679 0.951 0.114 0 2 Serpinf1
209 0 4.06639300924328 0.958 0.13 0 2 Col1a1
210 0 3.93261901579684 0.986 0.159 0 2 Col1a2
211 0 3.71281059797532 0.927 0.103 0 2 Ddr2
212 0 4.16129811737842 0.914 0.107 0 2 Fbln2
213 0 3.96117856199307 0.929 0.125 0 2 Htra3
214 0 3.77591373049968 0.896 0.098 0 2 Slit3
215 0 3.80396764847214 0.894 0.096 0 2 Igfbp6
216 0 3.99847081436417 0.891 0.097 0 2 Ogn
217 0 4.15938099611038 0.961 0.168 0 2 Fbn1
218 0 4.42494964235837 0.86 0.073 0 2 Col14a1
219 0 4.0848882053389 0.873 0.087 0 2 Abca8a
220 0 3.81324504135448 0.861 0.08 0 2 Pcolce2
221 0 4.14971565040207 0.84 0.059 0 2 Adamts2
222 0 3.87054994725744 0.866 0.086 0 2 Islr
223 0 3.71884800076658 0.861 0.091 0 2 Col5a1
224 0 4.63608875430912 0.88 0.112 0 2 Gfpt2
225 0 3.94578772112918 0.973 0.207 0 2 Col3a1
226 0 4.45485498636457 0.81 0.065 0 2 Adgrd1
227 0 4.45558705808963 0.803 0.076 0 2 Adamts5
228 0 4.07583783583172 0.825 0.101 0 2 Entpd2
229 0 4.76325465696156 0.766 0.047 0 2 Kcnt2
230 0 3.65496111459101 0.871 0.155 0 2 Cfh
231 0 4.45758809501044 0.766 0.057 0 2 Nova1
232 0 3.65334189103729 0.802 0.094 0 2 Ccdc80
233 0 4.41399070860507 0.756 0.048 0 2 Dpep1
234 0 4.38556233163642 0.757 0.053 0 2 Galnt15
235 0 5.35753619196038 0.744 0.041 0 2 Nox4
236 0 4.60030661900222 0.764 0.07 0 2 Fndc1
237 0 4.22775225634289 0.729 0.064 0 2 Aspn
238 0 4.13353397766538 0.699 0.038 0 2 Scn7a
239 0 3.7631814481801 0.723 0.063 0 2 Il33
240 0 4.9710447811463 0.743 0.086 0 2 Pi16
241 0 4.61890020604754 0.694 0.04 0 2 Ms4a4d
242 0 3.81592761334682 0.719 0.068 0 2 Cd248
243 0 3.94365332998615 0.715 0.066 0 2 Lamb1
244 0 4.51945932391291 0.721 0.075 0 2 Tnfaip6
245 0 3.65773230632572 0.76 0.116 0 2 Bmp1
246 0 4.23974025857112 0.906 0.272 0 2 C3
247 0 4.15512425168598 0.811 0.187 0 2 Ackr3
248 0 4.62849507934112 0.659 0.038 0 2 Cyp1b1
249 0 4.17005390241173 0.747 0.136 0 2 Pcsk6
250 0 3.71162099906315 0.661 0.052 0 2 Arhgap20
251 0 4.18857812198221 0.661 0.053 0 2 Cygb
252 0 3.82727699105311 0.672 0.071 0 2 Gpx3
253 0 4.46174110985182 0.64 0.04 0 2 Tmeff2
254 0 4.17611098261763 0.629 0.041 0 2 Lrrn4cl
255 0 4.82290653181534 0.632 0.05 0 2 Ace
256 0 4.2654702397595 0.625 0.047 0 2 Zfpm2
257 0 4.35032131910872 0.61 0.046 0 2 Tek
258 0 4.2471492361876 0.605 0.042 0 2 Svep1
259 0 3.77778943561844 0.635 0.076 0 2 Thbs3
260 0 3.81952582270384 0.597 0.058 0 2 Thbd
261 0 4.52710250274797 0.584 0.048 0 2 Angptl1
262 0 4.3067433776602 0.549 0.032 0 2 Ccl11
263 0 3.65607690681371 0.784 0.277 0 2 Ugdh
264 0 4.44836453690091 0.537 0.031 0 2 Cadm3
265 0 4.02624410011735 0.549 0.047 0 2 Galnt16
266 0 3.77422814215381 0.529 0.036 0 2 Ebf3
267 0 4.15814073712935 0.522 0.036 0 2 Sult5a1
268 0 3.89801231260699 0.519 0.035 0 2 Lims2
269 0 3.65526925063014 0.513 0.034 0 2 Prg4
270 0 4.25015283486075 0.511 0.037 0 2 Srpx
271 0 4.02278662676417 0.506 0.044 0 2 Dbn1
272 0 4.10537570299843 0.492 0.035 0 2 Pamr1
273 0 3.71777128833475 0.563 0.12 0 2 Procr
274 0 3.69500369381511 0.481 0.039 0 2 Fgf7
275 0 3.80312031966345 0.49 0.048 0 2 Inmt
276 0 3.839255549111 0.466 0.04 0 2 Podn
277 0 3.94621919716236 0.457 0.037 0 2 Col5a3
278 0 5.18469067569282 0.432 0.019 0 2 Lvrn
279 0 4.19847382438315 0.446 0.035 0 2 Nov
280 0 4.61175530847544 0.435 0.026 0 2 Efhd1
281 0 4.1800793054617 0.427 0.036 0 2 Has1
282 0 4.69524535271047 0.409 0.019 0 2 Thbs2
283 0 4.04636093543066 0.416 0.029 0 2 Itga11
284 0 3.85810604313437 0.412 0.028 0 2 Ssc5d
285 0 3.85152189433974 0.455 0.075 0 2 Limch1
286 0 4.52632072641399 0.396 0.023 0 2 Sfrp4
287 0 4.10477371744901 0.405 0.032 0 2 Pla1a
288 0 3.69961863553063 0.407 0.036 0 2 Dact1
289 0 3.73611407577553 0.393 0.03 0 2 Fam124a
290 0 4.69042968055865 0.38 0.024 0 2 C7
291 0 4.60886233908355 0.385 0.03 0 2 Smpd3
292 0 4.04950143869224 0.397 0.055 0 2 Nav3
293 0 3.76715801528614 0.36 0.03 0 2 Fgf10
294 0 3.8261665781916 0.332 0.023 0 2 Radil
295 0 4.37068720380853 0.314 0.016 0 2 Ackr1
296 0 4.02693385311679 0.301 0.02 0 2 Gdf10
297 0 4.49081575674763 0.28 0.022 0 2 Hmcn2
298 0 3.86491673136406 0.264 0.015 0 2 Foxg1
299 0 3.75084888929164 0.263 0.017 0 2 Fgf18
300 0 3.70366754064649 0.26 0.02 0 2 AW551984
301 0 3.38651749534498 0.857 0.123 0 3 Sec14l3
