p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
98 8.72678709632255e-109 2.04098290247355 0.265 0.066 1.37254907450961e-104 0 St3gal2
99 6.8835453221126e-108 1.94670288984691 0.274 0.073 1.08264400826187e-103 0 Hunk
100 7.43457419004964e-97 1.83517278545886 0.253 0.067 1.16930982861101e-92 0 Fras1
101 0 2.39645919565023 0.761 0.198 0 1 Sec14l3
102 0 1.69027517498492 0.908 0.368 0 1 Muc16
103 0 2.15784428185902 0.924 0.385 0 1 Cyp2a5
104 0 2.04774490020779 0.894 0.359 0 1 Ccdc129
105 0 2.29039518175837 0.8 0.281 0 1 St3gal5
106 0 1.74476627629479 0.942 0.454 0 1 Gabrp
107 0 2.53520447872796 0.603 0.127 0 1 Slc7a2
108 0 2.64367492220419 0.555 0.101 0 1 Pon1
109 0 2.02491850904705 0.974 0.662 0 1 Aldh1a1
110 1.16708266030441e-303 1.88937209449016 0.85 0.346 1.83558760812677e-299 1 Sftpd
111 2.5118391139328e-297 1.8801336061835 0.737 0.233 3.95062055839351e-293 1 Aldh1a7
112 4.78638414685974e-294 1.71539148709074 0.968 0.78 7.52802498618099e-290 1 Selenbp1
113 1.04652732038417e-288 1.85053581913844 0.905 0.421 1.64597816950022e-284 1 Cyp4b1
114 1.31949564636567e-283 2.99369531124655 0.484 0.087 2.07530275260393e-279 1 Cd36
115 5.96724873078308e-275 1.59086055948536 0.829 0.318 9.38528880377563e-271 1 Gipc2
116 1.0833589032088e-272 1.5467628803902 0.986 0.755 1.70390688296681e-268 1 Por
117 3.82421639034284e-266 1.49514919081855 0.945 0.638 6.01472753873123e-262 1 Alas1
118 3.67014438629473e-262 1.500259126364 0.92 0.565 5.77240309076436e-258 1 Tst
119 1.1276834635922e-261 1.92689532524072 0.608 0.155 1.77362055153781e-257 1 Clic6
120 6.41967754763379e-261 3.6016499054158 0.476 0.096 1.00968688469184e-256 1 Cadm2
121 2.20021353659834e-252 2.19140492718865 0.611 0.165 3.46049585036186e-248 1 Slco4c1
122 3.76043795220686e-250 1.96005468492589 0.497 0.101 5.91441681123096e-246 1 Rnf186
123 5.12430363764025e-243 1.96209679732739 0.829 0.366 8.05950476128058e-239 1 Vtcn1
124 1.99558263676983e-238 1.66321521089852 0.72 0.243 3.1386523711116e-234 1 Akr1c18
125 3.30938241590735e-238 1.49654844216335 0.76 0.272 5.20499666373907e-234 1 Ffar4
126 2.40944903628275e-231 1.87648856464366 0.569 0.153 3.78958144426551e-227 1 Chad
127 1.31099913843912e-230 2.23705968424854 0.772 0.335 2.06193944493705e-226 1 Adcy2
128 1.31917260084182e-230 2.46449642534179 0.971 0.864 2.07479466660401e-226 1 Bpifa1
129 1.52932806120935e-227 4.37416411830161 0.293 0.032 2.40532717467006e-223 1 Slc6a15
130 4.79783496581875e-224 2.94780718875311 0.91 0.639 7.54603483423973e-220 1 Scgb1a1
131 8.56859262146767e-213 1.99008641236137 0.91 0.613 1.34766824750443e-208 1 Scgb3a2
132 9.39427741884416e-213 1.50001216158592 0.521 0.125 1.47753195243581e-208 1 Wfdc1
133 3.9634308225097e-212 1.9251648650048 0.563 0.154 6.23368399764326e-208 1 Kcnq1
